mode,scenario,status,requests,ttft_s,tpot_s,prefill_tok_s,decode_tok_s,output_tok_s,hit_rate,saved_prefill_tokens,graph_replay,graph_eager
phase1_prefix_on,prefix_full_hit_513_longout_bs4,pass,4,0.2061899872496724,0.022543593535139676,1219.5203085073656,102.57010680393124,71.71625902281184,0.75,1536,62,0
route_b_graph,prefix_full_hit_513_longout_bs4,pass,4,0.2109899683855474,0.02776503496833386,1256.5733883818675,100.84230125027379,62.21593713182333,0.75,1536,62,0
prefix_off,prefix_partial_hit_769_bs8,pass,8,1.2345835189335048,0.025064619091738547,4042.767227616732,198.7061239426741,32.887094528803864,0.0,0,14,0
phase1_prefix_on,prefix_partial_hit_769_bs8,pass,8,0.9319661308545619,0.02561918310155826,3507.8990938650322,195.9277661058363,40.08249559288089,0.875,1792,14,0
route_b_graph,prefix_partial_hit_769_bs8,pass,8,0.973293527495116,0.03755745221860707,3464.9506964905077,193.18789226709853,36.11115828952391,0.875,1792,14,0
prefix_off,prefix_mixed_hit_miss_bs16,pass,16,2.6600932443980128,0.027909945474848864,4696.952767546752,385.81669378857407,36.73294895023089,0.0,0,14,0
phase1_prefix_on,prefix_mixed_hit_miss_bs16,pass,16,1.310890160384588,0.027917102661116848,4340.139125828969,387.4606478875933,63.44468135973461,0.5,6144,14,0
route_b_graph,prefix_mixed_hit_miss_bs16,pass,16,1.3941010553389788,0.0534939181192645,4314.864154493351,375.64918219963084,55.08975530331235,0.5,6144,14,0
prefix_off,prefix_multi_112req_wave16,pass,112,2.177604725584388,0.028918499507162035,5071.232347329124,660.8140498686851,53.770183789298294,0.0,0,49,0
phase1_prefix_on,prefix_multi_112req_wave16,pass,112,0.6226507412003619,0.029010434311871627,4167.119625309421,660.549697017933,154.93309299221914,0.8571428571428571,49152,49,0
route_b_graph,prefix_multi_112req_wave16,pass,112,0.7203897312283516,0.056621341833046505,4133.2588727840775,631.703833712205,114.55119329237208,0.8571428571428571,49152,49,0
prefix_off,prefix_eviction_pressure_96req_wave16,pass,96,1.9412070500353973,0.04044997443755468,5048.789410201882,637.9756123609867,16.144845851118557,0.0,0,6,0
phase1_prefix_on,prefix_eviction_pressure_96req_wave16,pass,96,1.9316129839668672,0.042090163876612983,5088.231015703027,614.469902971793,16.209282996382434,0.0,0,6,0
route_b_graph,prefix_eviction_pressure_96req_wave16,pass,96,2.1186862429603934,0.10527740294734637,5076.177443315342,551.9182974795025,14.38462382326392,0.0,0,6,0
